CONGLOME,VIVIENDA,HOGAR,UBIGEO,POBREZA,POBREZAV,GASHOG2D,FACTOR07,recibe_pension65,tamano_hogar,n_65mas,tiene_65mas,NBI1,NBI2,NBI3,NBI4,NBI5,pct_miembros_con_seguro,algun_miembro_sin_seguro,gasto_salud_hogar
015202,043,11,021801,3,4,19974.810546875,7.13996362686157,0.0,1,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,2380.0
015202,058,11,021801,3,4,72301.15625,7.13996362686157,0.0,5,0,False,0.0,0.0,0.0,0.0,0.0,0.8,True,1402.0
015202,074,14,021801,3,4,22472.6953125,7.13996362686157,0.0,1,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0
015202,074,24,021801,3,4,36063.29296875,7.13996362686157,0.0,2,0,False,0.0,0.0,0.0,0.0,0.0,0.5,True,310.0
015202,074,34,021801,3,4,26019.373046875,7.13996362686157,0.0,2,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,3101.0
015202,074,44,021801,3,4,20677.69140625,7.13996362686157,0.0,1,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0
015202,107,11,021801,3,3,40896.38671875,7.13996362686157,0.0,5,1,True,0.0,0.0,0.0,0.0,0.0,1.0,False,2999.0
015202,138,11,021801,3,4,17595.2109375,7.13996362686157,0.0,1,1,True,0.0,0.0,0.0,0.0,0.0,1.0,False,4254.0
015202,154,11,021801,3,4,75706.3046875,7.13996362686157,0.0,3,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,2557.0
015219,004,11,021809,2,2,9956.4814453125,281.693450927734,0.0,3,0,False,1.0,0.0,0.0,0.0,0.0,1.0,False,243.0
015219,019,11,021809,3,4,58835.30078125,281.693450927734,0.0,2,0,False,1.0,0.0,0.0,0.0,0.0,1.0,False,11303.0
015219,035,11,021809,3,4,40238.61328125,281.693450927734,0.0,2,0,False,1.0,0.0,0.0,0.0,0.0,1.0,False,1193.0
015219,050,11,021809,3,4,52983.13671875,281.693450927734,0.0,3,0,False,1.0,0.0,0.0,0.0,0.0,1.0,False,3563.0
015219,065,11,021809,3,4,49086.4765625,281.693450927734,0.0,4,0,False,1.0,0.0,0.0,0.0,0.0,1.0,False,910.0
015219,096,11,021809,3,3,17211.900390625,281.693450927734,0.0,3,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,397.0
015238,012,11,021809,3,3,36915.10546875,281.693450927734,0.0,6,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,365.0
015238,028,11,021809,1,1,2838.48974609375,281.693450927734,0.0,1,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,220.0
015238,043,11,021809,2,2,20650.427734375,281.693450927734,0.0,5,0,False,1.0,0.0,0.0,0.0,0.0,1.0,False,911.0
015238,059,11,021809,3,4,23886.0078125,281.693450927734,0.0,1,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,6361.0
015238,090,11,021809,3,4,81988.2890625,281.693450927734,0.0,6,1,True,0.0,0.0,0.0,0.0,0.0,1.0,False,5924.59716796875
015238,106,11,021809,3,3,37065.0078125,281.693450927734,0.0,5,0,False,0.0,0.0,0.0,0.0,0.0,0.8,True,232.0
015245,006,11,021101,2,2,29149.591796875,281.693450927734,0.0,6,0,False,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,True,1030.0
015245,019,11,021101,3,4,56012.0234375,281.693450927734,0.0,6,0,False,0.0,0.0,0.0,0.0,0.0,0.5,True,3332.0
015245,029,12,021101,3,3,29807.009765625,281.693450927734,0.0,5,0,False,0.0,1.0,0.0,0.0,0.0,1.0,False,527.0
015245,029,22,021101,3,4,37613.0546875,281.693450927734,0.0,3,0,False,0.0,1.0,0.0,0.0,0.0,1.0,False,2970.0
015245,037,11,021101,2,2,4242.13916015625,281.693450927734,0.0,1,1,True,0.0,0.0,0.0,0.0,0.0,1.0,False,972.0
015245,044,11,021101,2,2,16038.3330078125,281.693450927734,1.0,4,1,True,1.0,0.0,0.0,0.0,0.0,1.0,False,304.0
